Id,Caseta,Clase,Camion_Tipo,Importe,Tarifa_Esperada,Diferencia
2049,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
2058,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
2071,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
2104,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
2128,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
2158,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
2177,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
2183,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
2204,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2244,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
2261,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
2262,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
2267,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2273,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
2319,PALMILLAS BIS,3,Camion_T3,219.0,440.0,-221.0
2337,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
2345,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
2351,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
2396,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
2397,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
2422,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
2427,CHAPALA,4,Camion_T4,123.0,141.0,-18.0
2429,PERIFERICO,9,Camion_T9,335.0,555.0,-220.0
2435,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2447,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2470,CHAPALA,9,Camion_T9,213.0,244.0,-31.0
2472,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2477,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2504,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
2511,CUENCAME,5,Camion_T5,205.0,541.0,-336.0
2511,CUENCAME,5,Camion_T5,205.0,336.0,-131.0
2512,ECUANDUREO,5,Camion_T5,83.0,351.0,-268.0
2512,ECUANDUREO,5,Camion_T5,83.0,229.0,-146.0
2514,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
2533,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
2542,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
2543,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
2558,AGUJITA-ALLENDE,9,Camion_T9,325.0,360.0,-35.0
2570,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2572,PERIFERICO,4,Camion_T4,178.0,294.0,-116.0
2590,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
2596,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2607,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
2612,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
2637,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
2644,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2669,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
2689,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
2691,CUENCAME,5,Camion_T5,205.0,541.0,-336.0
2691,CUENCAME,5,Camion_T5,205.0,336.0,-131.0
2698,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2705,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2726,LIB. OTE. S.L.P.,9,Camion_T9,138.0,444.0,-306.0
2736,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
2740,JOROBAS,5,Camion_T5,254.0,364.0,-110.0
2741,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
2743,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2745,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
2749,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
2765,PALMILLAS,3,Camion_T3,219.0,440.0,-221.0
2768,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
2772,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
2778,AGUJITA-ALLENDE,9,Camion_T9,325.0,360.0,-35.0
2783,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2785,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
2792,PERIFERICO,9,Camion_T9,335.0,555.0,-220.0
2793,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2804,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
2810,ZACATECAS,9,Camion_T9,89.0,115.0,-26.0
2823,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
2834,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2837,LA VENTA,9,Camion_T9,1202.0,342.0,860.0
2845,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
2850,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
2879,TEPOTZOTLAN,9,Camion_T9,678.0,54.0,624.0
2881,LIB. OTE. S.L.P.,9,Camion_T9,138.0,444.0,-306.0
2883,CEBALLOS,2,Camion_T2,238.0,209.0,29.0
2898,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
2901,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
2910,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
2911,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
2920,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
2924,JOROBAS,5,Camion_T5,254.0,364.0,-110.0
2935,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
2936,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2937,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2942,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
2944,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
2973,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
2991,LEON,5,Camion_T5,107.0,411.0,-304.0
2991,LEON,5,Camion_T5,107.0,157.0,-50.0
2991,LEON,5,Camion_T5,107.0,131.0,-24.0
2996,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
2997,PALMILLAS BIS,9,Camion_T9,641.0,54.0,587.0
3001,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3004,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
3012,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3013,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3019,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
3022,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
3023,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
3031,ZACATECAS,4,Camion_T4,115.0,89.0,26.0
3047,PALMILLAS,3,Camion_T3,219.0,440.0,-221.0
3055,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
3069,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
3072,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
3076,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
3090,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
3092,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
3101,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3110,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3120,ZACATECAS,4,Camion_T4,115.0,89.0,26.0
3140,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3150,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
3194,ZACATECAS,9,Camion_T9,89.0,115.0,-26.0
3195,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
3211,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3212,ZACATECAS,9,Camion_T9,89.0,115.0,-26.0
3301,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
3356,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
3360,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
3362,CUENCAME,5,Camion_T5,205.0,541.0,-336.0
3362,CUENCAME,5,Camion_T5,205.0,336.0,-131.0
3369,CHAPALA,9,Camion_T9,213.0,244.0,-31.0
3375,CHAPALA,9,Camion_T9,213.0,244.0,-31.0
3396,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
3454,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3518,CUENCAME,5,Camion_T5,205.0,541.0,-336.0
3518,CUENCAME,5,Camion_T5,205.0,336.0,-131.0
3519,NARANJOS,5,Camion_T5,1189.0,565.0,624.0
3533,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
3540,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
3548,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
3564,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
3579,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
3606,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3610,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
3613,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
3616,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3637,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
3647,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3659,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
3660,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
3663,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
3686,DURANGO,9,Camion_T9,322.0,665.0,-343.0
3701,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3723,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
3726,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
3735,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
3746,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
3751,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
3785,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
3804,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3824,ZAPOTLANEJO,5,Camion_T5,216.0,422.0,-206.0
3824,ZAPOTLANEJO,5,Camion_T5,216.0,340.0,-124.0
3824,ZAPOTLANEJO,5,Camion_T5,216.0,458.0,-242.0
3824,ZAPOTLANEJO,5,Camion_T5,216.0,308.0,-92.0
3824,ZAPOTLANEJO,5,Camion_T5,216.0,209.0,7.0
3824,ZAPOTLANEJO,5,Camion_T5,216.0,181.0,35.0
3829,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
