Id,Caseta,Clase,Camion_Tipo,Importe
5358,AMOZOC-PEROTE,1,Camion_T1,382.0
5359,PLAN DE RIO,1,Camion_T1,258.0
5361,CTO. EXT. MEXIQUENSE,1,Camion_T1,450.0
5362,CTO. EXT. MEXIQUENSE,1,Camion_T1,95.0
5363,CTO. EXT. MEXIQUENSE,1,Camion_T1,113.0
5366,PEÑON,1,Camion_T1,185.0
5368,LIB. SUR DE GUAD.,8,Camion_T8,190.0
5369,CTO. EXT. MEXIQUENSE,1,Camion_T1,184.0
5373,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5376,ENCARNACION DE DIAZ,5,Camion_T5,417.0
5377,JIQUIPILAS VIAP,1,Camion_T1,405.0
5378,CHICHIMEQUILLAS,1,Camion_T1,62.0
5381,ARMERIA VIAPASS,1,Camion_T1,662.0
5382,VENTURA - EL PEYOTE,5,Camion_T5,312.0
5384,CTO. EXT. MEXIQUENSE,1,Camion_T1,259.0
5385,MARQUESA VIAPASS,1,Camion_T1,222.0
5386,ATLACOMULCO-BANOBRAS,5,Camion_T5,217.0
5388,ANE EASYTRIP,1,Camion_T1,202.0
5392,SANCTORUM,9,Camion_T9,1610.0
5393,JUÁREZ,5,Camion_T5,248.0
5394,S.MARTIN PUE.,5,Camion_T5,238.0
5395,CTO. EXT. MEXIQUENSE,1,Camion_T1,38.0
5396,CTO. EXT. MEXIQUENSE,1,Camion_T1,162.0
5397,AMOZOC-PEROTE,1,Camion_T1,179.0
5398,LIB. SUR DE GUAD.,7,Camion_T7,190.0
5400,QUERETARO,3,Camion_T3,197.0
5401,MARQUESA T2,1,Camion_T1,287.0
5403,ATLACOMULCO,5,Camion_T5,927.0
5407,S.MARTIN PUE.,5,Camion_T5,238.0
5410,AMOZOC-PEROTE,1,Camion_T1,141.0
5412,ARMERIA VIAPASS,1,Camion_T1,662.0
5413,APODACA,5,Camion_T5,482.0
5418,PLAN DE RIO,1,Camion_T1,258.0
5419,ARRIAGA VIAP,1,Camion_T1,165.0
5421,ATLACOMULCO,5,Camion_T5,350.0
5423,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5424,AMOZOC-PEROTE,1,Camion_T1,382.0
5426,ARMERIA VIAPASS,1,Camion_T1,662.0
5427,ECATEPEC VIAPASS,1,Camion_T1,514.0
5432,AMOZOC-PEROTE,1,Camion_T1,382.0
5433,AMOZOC-PEROTE,1,Camion_T1,179.0
5434,AMOZOC-PEROTE,1,Camion_T1,305.0
5435,APODACA,9,Camion_T9,348.0
5436,ATLACOMULCO-LIB QRO,5,Camion_T5,636.0
5442,LIB. SUR DE GUAD.,4,Camion_T4,113.0
5445,SANCTORUM,5,Camion_T5,1086.0
5447,SANCTORUM,5,Camion_T5,1086.0
5450,CALDERON,5,Camion_T5,382.0
5452,TULANCINGO,5,Camion_T5,334.0
5453,LA ANTIGUA,1,Camion_T1,431.0
5457,TIZAYUCA EASYTRIP,1,Camion_T1,418.0
5462,CTO. EXT. MEXIQUENSE,1,Camion_T1,184.0
5467,CALDERON,5,Camion_T5,382.0
