Via,Nombre,Camion_T2,Camion_T3,Camion_T4,Camion_T5,Camion_T6,Camion_T7,Camion_T8,Camion_T9
AMOZOC-PEROTE,AMOZOC-PEROTE (CANTONA),191.00,192.00,195.00,236.00,236.00,344.00,344.00,344.00
AMOZOC-PEROTE,AMOZOC-PEROTE (PEROTE),91.00,93.00,100.00,133.00,133.00,167.00,167.00,167.00
AMOZOC-PEROTE,AMOZOC-PEROTE (AUDI),44.00,46.00,49.00,56.00,56.00,90.00,90.00,90.00
AMOZOC-PEROTE,AMOZOC-PEROTE (AUDI CUAPIAXTLA A1 Y A2),155.00,158.00,164.00,205.00,205.00,275.00,275.00,275.00
,NOMBRE,T2,T3,T4,T5,T6,T7,T8,T9
AMOZOC-PEROTE,AMOZOC-PEROTE (AUDI CUAPIAXTLA),20.00,21.00,23.00,26.00,26.00,34.00,34.00,34.00
PEROTE-BANDERILLA,LAS VIGAS,245.00,245.00,245.00,330.00,458.00,649.00,649.00,649.00
LIBRAMIENTO XALAPA,MIRADORES,372.00,372.00,372.00,472.00,604.00,659.00,659.00,659.00
CARDEL-VERACRUZ,ANTIGUA,125.00,125.00,125.00,300.00,300.00,431.00,431.00,431.00
SAN JULIÁN-VERACRUZ,SAN JULIAN,64.00,64.00,64.00,119.00,119.00,143.00,143.00,143.00
LIBRAMIENTO PLAN DEL RIO,PLAN DEL RIO,104.00,104.00,104.00,221.00,221.00,258.00,258.00,258.00
PUENTE NACIONAL NAUTLA,NAUTLA,47.00,47.00,100.00,100.00,146.00,146.00,146.00,146.00
LAS CHOAPAS-OCOZOCOAUTLA,LAS CHOAPAS,153.00,153.00,153.00,241.00,241.00,330.00,330.00,330.00
LAS CHOAPAS-OCOZOCOAUTLA,LAS CHOAPAS,134.00,134.00,134.00,183.00,183.00,216.00,216.00,216.00
LAS CHOAPAS-OCOZOCOAUTLA,MALPASITO,153.00,153.00,153.00,241.00,241.00,330.00,330.00,330.00
LAS CHOAPAS-OCOZOCOAUTLA,MALPASITO,96.00,96.00,96.00,129.00,129.00,147.00,147.00,147.00
LAS CHOAPAS-OCOZOCOAUTLA,MALPASITO,87.00,87.00,87.00,114.00,114.00,141.00,141.00,141.00
LAS CHOAPAS-OCOZOCOAUTLA,OCOZOCOAUTLA (OCUILAPA),153.00,153.00,153.00,241.00,241.00,330.00,330.00,330.00
TUXTLA GUTIERREZ-SAN CRISTOBAL DE LAS C,CHIAPA DE CORZO VIAPASS,185.00,185.00,185.00,280.00,280.00,400.00,400.00,400.00
ARRIAGA - OCOZOCOAUTLA,ARRIAGA VIAPASS,95.00,95.00,95.00,165.00,165.00,225.00,225.00,225.00
ARRIAGA - OCOZOCOAUTLA,COITA VIAPASS,185.00,185.00,185.00,315.00,315.00,435.00,435.00,435.00
ARRIAGA - OCOZOCOAUTLA,JIQUIPILAS,105.00,105.00,105.00,175.00,175.00,235.00,235.00,235.00
AGUA DULCE-CARDENAS,SANCHEZ MAGALLANES,161.00,161.00,161.00,262.00,262.00,327.00,327.00,327.00
AGUA DULCE-CARDENAS,SANCHEZ MAGALLANES,97.00,97.00,97.00,133.00,133.00,141.00,141.00,141.00
AGUA DULCE-CARDENAS,SANCHEZ MAGALLANES,97.00,97.00,97.00,133.00,133.00,141.00,141.00,141.00
LIBRAMIENTO DE VILLAHERMOSA,NACAJUCA,180.00,180.00,180.00,210.00,210.00,210.00,210.00,210.00
LIBRAMIENTO DE VILLAHERMOSA,NACAJUCA,95.00,95.00,95.00,113.00,113.00,113.00,113.00,113.00
LIBRAMIENTO DE VILLAHERMOSA,NACAJUCA,85.00,85.00,85.00,97.00,97.00,97.00,97.00,97.00
PUENTE NACIONAL GRIJALVA,GRIJALVA,47.00,47.00,100.00,100.00,146.00,146.00,146.00,146.00
PUENTE NACIONAL USUMACINTA,USUMACINTA,47.00,47.00,100.00,100.00,146.00,146.00,146.00,146.00
ZACATAL-CIUDAD DEL CARMEN,ZACATAL,229.00,229.00,229.00,371.00,371.00,462.00,462.00,462.00
CHAMPOTON-CAMPECHE,LA SEYBA,147.00,147.00,147.00,253.00,253.00,306.00,306.00,306.00
CHAMPOTON-CAMPECHE,LA SEYBA,97.00,97.00,97.00,165.00,165.00,180.00,180.00,180.00
CHAMPOTON-CAMPECHE,LA SEYBA,46.00,46.00,46.00,90.00,90.00,92.00,92.00,92.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE -T0 JOROBAS,208.00,208.00,208.00,351.00,351.00,517.00,517.00,517.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE -T1 TULTEPEC,259.00,259.00,259.00,437.00,437.00,645.00,645.00,645.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE -T2 CONMEX,184.00,184.00,184.00,311.00,311.00,458.00,458.00,458.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE -T3 NABOR CARRILLO (P,115.00,115.00,115.00,195.00,195.00,287.00,287.00,287.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE -T3 NABOR CARRILLO (B,81.00,81.00,81.00,136.00,136.00,201.00,201.00,201.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE -T4 CHALCO,266.00,266.00,266.00,450.00,450.00,663.00,663.00,663.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE A-1A - A-1B HUEHUETO,200.00,200.00,200.00,338.00,338.00,498.00,498.00,498.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE A-2 / A-5 HANK GLEZ.,48.00,48.00,48.00,81.00,81.00,120.00,120.00,120.00
CIRCUITO EXTERIOR MEXIQUENSE,"CTO. EXT. MEXIQUENSE A-6, A-7 PERIFÉRICO",62.00,62.00,62.00,105.00,105.00,154.00,154.00,154.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE A-8 (PICHARDO),59.00,59.00,59.00,100.00,100.00,147.00,147.00,147.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE A-9 CTM,26.00,26.00,26.00,44.00,44.00,65.00,65.00,65.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE T1 JALTENCO,134.00,134.00,134.00,226.00,226.00,333.00,333.00,333.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE A-3 A PACHUCA,18.00,18.00,18.00,31.00,31.00,46.00,46.00,46.00
